YEAR,MONTH,DAY,WIND_SPEED,WIND_DIRECTION
2021,1,1,5,40
2021,1,2,4,40
2021,1,3,2,40
2021,1,4,2,20
2021,1,5,2,40
2021,1,6,3,40
2021,1,7,4,40
2021,1,8,5,40
2021,1,9,4,40
2021,1,10,4,40
2021,1,11,4,40
2021,1,12,4,40
2021,1,13,3,20
2021,1,14,4,40
2021,1,15,3,40
2021,1,16,4,40
2021,1,17,4,40
2021,1,18,4,40
2021,1,19,4,40
2021,1,20,1,360
2021,1,21,1,360
2021,1,22,1,360
2021,1,23,1,360
2021,1,24,2,40
2021,1,25,1,360
2021,1,26,2,40
2021,1,27,3,20
2021,1,28,3,40
2021,1,29,4,40
2021,1,30,5,40
2021,1,31,4,40
2021,2,1,3,40
2021,2,2,2,40
2021,2,3,4,40
2021,2,4,4,40
2021,2,5,4,40
2021,2,6,4,40
2021,2,7,3,40
2021,2,8,3,40
2021,2,9,4,40
2021,2,10,1,40
2021,2,11,1,360
2021,2,12,1,360
2021,2,13,1,360
2021,2,14,1,360
2021,2,15,2,40
2021,2,16,2,40
2021,2,17,3,20
2021,2,18,5,40
2021,2,19,3,40
2021,2,20,3,40
2021,2,21,2,40
2021,2,22,2,360
2021,2,23,1,360
2021,2,24,1,360
2021,2,25,2,360
2021,2,26,1,360
2021,2,27,2,20
2021,2,28,2,70
2021,3,1,2,40
2021,3,2,2,350
2021,3,3,3,20
2021,3,4,2,40
2021,3,5,3,40
2021,3,6,3,40
2021,3,7,2,40
2021,3,8,3,40
2021,3,9,3,40
2021,3,10,4,40
2021,3,11,2,40
2021,3,12,3,40
2021,3,13,4,40
2021,3,14,4,20
2021,3,15,1,360
2021,3,16,1,220
2021,3,17,1,360
2021,3,18,2,360
2021,3,19,1,360
2021,3,20,1,70
2021,3,21,3,40
2021,3,22,4,20
2021,3,23,2,40
2021,3,24,2,40
2021,3,25,3,40
2021,3,26,2,40
2021,3,27,2,40
2021,3,28,1,360
2021,3,29,1,360
2021,3,30,2,40
2021,3,31,3,40
2021,4,1,4,40
2021,4,2,2,40
2021,4,3,2,40
2021,4,4,1,40
2021,4,5,2,80
2021,4,6,3,40
2021,4,7,2,40
2021,4,8,3,40
2021,4,9,2,40
2021,4,10,2,40
2021,4,11,3,40
2021,4,12,1,360
2021,4,13,2,360
2021,4,14,3,40
2021,4,15,1,360
2021,4,16,2,40
2021,4,17,1,360
2021,4,18,2,360
2021,4,19,2,360
2021,4,20,2,360
2021,4,21,3,200
2021,4,22,3,200
2021,4,23,3,200
2021,4,24,1,360
2021,4,25,2,360
2021,4,26,2,40
2021,4,27,2,360
2021,4,28,1,360
2021,4,29,2,360
2021,4,30,2,360
2021,5,1,1,360
2021,5,2,3,40
